"Question","Answer","Category","Group","Percentage"
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men have more promotion/professional development opportunities","Children","Has Children",13
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men have more promotion/professional development opportunities","Children","No Children",17
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men have more promotion/professional development opportunities","Sexual Orientation","Straight",13
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men have more promotion/professional development opportunities","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men generally have more support from their managers","All Men",NA,11
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men generally have more support from their managers","Age","18-34",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men generally have more support from their managers","Age","35-64",8
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men generally have more support from their managers","Age","65+",18
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men generally have more support from their managers","Race","White",10
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men generally have more support from their managers","Race","Non-White",12
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men generally have more support from their managers","Children","Has Children",10
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men generally have more support from their managers","Children","No Children",12
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men generally have more support from their managers","Sexual Orientation","Straight",10
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men generally have more support from their managers","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are explicitly praised more often","All Men",NA,8
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are explicitly praised more often","Age","18-34",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are explicitly praised more often","Age","35-64",5
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are explicitly praised more often","Age","65+",6
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are explicitly praised more often","Race","White",8
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are explicitly praised more often","Race","Non-White",7
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are explicitly praised more often","Children","Has Children",5
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are explicitly praised more often","Children","No Children",11
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are explicitly praised more often","Sexual Orientation","Straight",7
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Men are explicitly praised more often","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Other (please specify)","All Men",NA,7
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Other (please specify)","Age","18-34",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Other (please specify)","Age","35-64",7
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Other (please specify)","Age","65+",7
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Other (please specify)","Race","White",10
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Other (please specify)","Race","Non-White",1
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Other (please specify)","Children","Has Children",8
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Other (please specify)","Children","No Children",5
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Other (please specify)","Sexual Orientation","Straight",7
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","Other (please specify)","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","None of the above","All Men",NA,59
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","None of the above","Age","18-34",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","None of the above","Age","35-64",68
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","None of the above","Age","65+",50
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","None of the above","Race","White",61
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","None of the above","Race","Non-White",57
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","None of the above","Children","Has Children",63
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","None of the above","Children","No Children",55
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","None of the above","Sexual Orientation","Straight",61
"AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).","None of the above","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Managers want to hire and promote women","All Men",NA,18
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Managers want to hire and promote women","Age","18-34",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Managers want to hire and promote women","Age","35-64",15
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Managers want to hire and promote women","Age","65+",18
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Managers want to hire and promote women","Race","White",17
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Managers want to hire and promote women","Race","Non-White",21
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Managers want to hire and promote women","Children","Has Children",20
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Managers want to hire and promote women","Children","No Children",17
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Managers want to hire and promote women","Sexual Orientation","Straight",19
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Managers want to hire and promote women","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of sexual harassment","All Men",NA,42
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of sexual harassment","Age","18-34",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of sexual harassment","Age","35-64",43
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of sexual harassment","Age","65+",43
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of sexual harassment","Race","White",43
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of sexual harassment","Race","Non-White",41
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of sexual harassment","Children","Has Children",44
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of sexual harassment","Children","No Children",40
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of sexual harassment","Sexual Orientation","Straight",43
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of sexual harassment","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of being sexist or racist","All Men",NA,38
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of being sexist or racist","Age","18-34",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of being sexist or racist","Age","35-64",40
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of being sexist or racist","Age","65+",33
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of being sexist or racist","Race","White",40
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of being sexist or racist","Race","Non-White",35
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of being sexist or racist","Children","Has Children",37
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of being sexist or racist","Children","No Children",38
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of being sexist or racist","Sexual Orientation","Straight",37
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Greater risk of being accused of being sexist or racist","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Other (please specify)","All Men",NA,5
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Other (please specify)","Age","18-34",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Other (please specify)","Age","35-64",6
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Other (please specify)","Age","65+",4
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Other (please specify)","Race","White",6
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Other (please specify)","Race","Non-White",3
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Other (please specify)","Children","Has Children",4
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Other (please specify)","Children","No Children",6
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Other (please specify)","Sexual Orientation","Straight",5
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","Other (please specify)","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","None of the above","All Men",NA,42
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","None of the above","Age","18-34",NA
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","None of the above","Age","35-64",43
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","None of the above","Age","65+",45
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","None of the above","Race","White",43
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","None of the above","Race","Non-White",41
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","None of the above","Children","Has Children",43
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","None of the above","Children","No Children",42
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","None of the above","Sexual Orientation","Straight",43
"AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.)","None of the above","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the HR department","All Men",NA,8
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the HR department","Age","18-34",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the HR department","Age","35-64",7
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the HR department","Age","65+",10
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the HR department","Race","White",7
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the HR department","Race","Non-White",11
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the HR department","Children","Has Children",9
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the HR department","Children","No Children",7
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the HR department","Sexual Orientation","Straight",8
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the HR department","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Did not respond at all","All Men",NA,8
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Did not respond at all","Age","18-34",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Did not respond at all","Age","35-64",7
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Did not respond at all","Age","65+",1
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Did not respond at all","Race","White",5
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Did not respond at all","Race","Non-White",14
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Did not respond at all","Children","Has Children",5
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Did not respond at all","Children","No Children",12
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Did not respond at all","Sexual Orientation","Straight",7
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Did not respond at all","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Reached out to the victim to offer support","All Men",NA,7
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Reached out to the victim to offer support","Age","18-34",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Reached out to the victim to offer support","Age","35-64",7
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Reached out to the victim to offer support","Age","65+",9
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Reached out to the victim to offer support","Race","White",9
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Reached out to the victim to offer support","Race","Non-White",5
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Reached out to the victim to offer support","Children","Has Children",9
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Reached out to the victim to offer support","Children","No Children",6
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Reached out to the victim to offer support","Sexual Orientation","Straight",7
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Reached out to the victim to offer support","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the manager of the accused person","All Men",NA,7
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the manager of the accused person","Age","18-34",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the manager of the accused person","Age","35-64",5
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the manager of the accused person","Age","65+",4
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the manager of the accused person","Race","White",6
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the manager of the accused person","Race","Non-White",7
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the manager of the accused person","Children","Has Children",6
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the manager of the accused person","Children","No Children",7
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the manager of the accused person","Sexual Orientation","Straight",7
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Contacted the manager of the accused person","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Confronted the accused person","All Men",NA,5
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Confronted the accused person","Age","18-34",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Confronted the accused person","Age","35-64",5
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Confronted the accused person","Age","65+",5
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Confronted the accused person","Race","White",4
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Confronted the accused person","Race","Non-White",5
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Confronted the accused person","Children","Has Children",6
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Confronted the accused person","Children","No Children",3
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Confronted the accused person","Sexual Orientation","Straight",5
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Confronted the accused person","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Other (please specify)","All Men",NA,3
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Other (please specify)","Age","18-34",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Other (please specify)","Age","35-64",4
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Other (please specify)","Age","65+",3
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Other (please specify)","Race","White",4
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Other (please specify)","Race","Non-White",1
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Other (please specify)","Children","Has Children",1
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Other (please specify)","Children","No Children",6
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Other (please specify)","Sexual Orientation","Straight",3
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Other (please specify)","Sexual Orientation","Gay/Bisexual",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Never witnessed sexual harassment","All Men",NA,75
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Never witnessed sexual harassment","Age","18-34",NA
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Never witnessed sexual harassment","Age","35-64",76
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Never witnessed sexual harassment","Age","65+",81
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Never witnessed sexual harassment","Race","White",76
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Never witnessed sexual harassment","Race","Non-White",73
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Never witnessed sexual harassment","Children","Has Children",79
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Never witnessed sexual harassment","Children","No Children",69
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Never witnessed sexual harassment","Sexual Orientation","Straight",76
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)","Never witnessed sexual harassment","Sexual Orientation","Gay/Bisexual",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't want to get involved","All Men",NA,NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't want to get involved","Age","18-34",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't want to get involved","Age","35-64",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't want to get involved","Age","65+",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't want to get involved","Race","White",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't want to get involved","Race","Non-White",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't want to get involved","Children","Has Children",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't want to get involved","Children","No Children",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't want to get involved","Sexual Orientation","Straight",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't want to get involved","Sexual Orientation","Gay/Bisexual",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure it was sexual harassment","All Men",NA,NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure it was sexual harassment","Age","18-34",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure it was sexual harassment","Age","35-64",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure it was sexual harassment","Age","65+",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure it was sexual harassment","Race","White",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure it was sexual harassment","Race","Non-White",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure it was sexual harassment","Children","Has Children",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure it was sexual harassment","Children","No Children",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure it was sexual harassment","Sexual Orientation","Straight",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You weren't sure it was sexual harassment","Sexual Orientation","Gay/Bisexual",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't think it was your place","All Men",NA,NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't think it was your place","Age","18-34",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't think it was your place","Age","35-64",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't think it was your place","Age","65+",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't think it was your place","Race","White",NA
"AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?","You didn't think it was your place","Race","Non-White",NA
